subject_id,device_id,time_s,time,code
User02,22482,2608740,D0031 04:39:00,AHOF
User02,22482,2608755,D0031 04:39:15,AHON
User02,22482,2608761,D0031 04:39:21,AHOF
User02,22482,2609583,D0031 04:53:03,AHON
User02,22482,2609589,D0031 04:53:09,AHOF
User02,22482,2609619,D0031 04:53:39,AHON
User02,22482,2609624,D0031 04:53:44,AHOF
User02,22482,2611682,D0031 05:28:02,AHON
User02,22482,2611689,D0031 05:28:09,AHOF
User02,22482,2696593,D0032 05:03:13,AHON
User02,22482,2696599,D0032 05:03:19,AHOF
User02,22482,2710327,D0032 08:52:07,AHON
User02,22482,2710333,D0032 08:52:13,AHOF
User02,22482,2750306,D0032 19:58:26,AHON
User02,22482,2750314,D0032 19:58:34,AHOF
User02,22482,2750699,D0032 20:04:59,AHON
User02,22482,2750711,D0032 20:05:11,AHOF
User02,22482,2774281,D0033 02:38:01,AHON
User02,22482,2774285,D0033 02:38:05,AHOF
User02,22482,2796164,D0033 08:42:44,AHON
User02,22482,2796170,D0033 08:42:50,AHOF
User02,22482,2796482,D0033 08:48:02,AHON
User02,22482,2796486,D0033 08:48:06,AHOF
User02,22482,2844045,D0033 22:00:45,AHON
User02,22482,2844051,D0033 22:00:51,AHOF
User02,22482,2844093,D0033 22:01:33,AHON
User02,22482,2844099,D0033 22:01:39,AHOF
User02,22482,2868046,D0034 04:40:46,AHON
User02,22482,2868048,D0034 04:40:48,AHOF
User02,22482,2875845,D0034 06:50:45,AHON
User02,22482,2875852,D0034 06:50:52,AHOF
User02,22482,2928462,D0034 21:27:42,AHON
User02,22482,2928470,D0034 21:27:50,AHOF
User02,22482,2930310,D0034 21:58:30,AHON
User02,22482,2930316,D0034 21:58:36,AHOF
User02,22482,2932209,D0034 22:30:09,AHON
User02,22482,2932215,D0034 22:30:15,AHOF
User02,22482,2933272,D0034 22:47:52,AHON
User02,22482,2933277,D0034 22:47:57,AHOF
User02,22482,3016800,D0035 22:00:00,AHON
User02,22482,3016808,D0035 22:00:08,AHOF
User02,22482,3019257,D0035 22:40:57,AHON
User02,22482,3019262,D0035 22:41:02,AHOF
User02,22482,3096358,D0036 20:05:58,AHON
User02,22482,3096369,D0036 20:06:09,AHOF
User02,22482,3097259,D0036 20:20:59,AHON
User02,22482,3097261,D0036 20:21:01,AHOF
User02,22482,3097267,D0036 20:21:07,AHON
