subject_id,target,budget_nights,predictor,seed,mae,rmse,bias,n_windows,n_nights,fit_windows,fit_nights,source
User02,humidity,14,D,2,14.727440950000405,17.658805228512808,9.167234784441638,95839,36,44800,,reused_p8_by_seed
User07,temperature,0,A,,1.5889514045308701,1.9467161598143001,0.7092590169349485,114838,85,433436,202,recomputed
User07,humidity,0,A,,8.387674311928837,9.971502532712394,-2.1516425999934827,114838,85,433436,202,recomputed
User07,temperature,0,A_med,,1.484064508263815,1.8419569803167137,0.325806788693638,114838,85,433436,202,recomputed
User07,humidity,0,A_med,,9.68774273324161,12.130106130546716,-7.234512966091364,114838,85,433436,202,recomputed
User07,temperature,1,B,,2.407764278521635,2.86748013818931,-2.221663090824434,114838,85,2075,1,recomputed
User07,humidity,1,B,,8.336912814007034,9.857564736874178,-1.539573207055218,114838,85,2075,1,recomputed
User07,temperature,1,B_med,,2.69895853288981,3.2307839273426566,-2.674193211306362,114838,85,2075,1,recomputed
User07,humidity,1,B_med,,8.311612880753758,9.81454630358585,-1.2345129660913634,114838,85,2075,1,recomputed
User07,temperature,3,B,,2.4483633160931597,2.916635964680094,-2.28475598186913,114838,85,5775,3,recomputed
User07,humidity,3,B,,8.306725909165172,9.796430935310955,-1.0810930526714555,114838,85,5775,3,recomputed
User07,temperature,3,B_med,,2.69895853288981,3.2307839273426566,-2.674193211306362,114838,85,5775,3,recomputed
User07,humidity,3,B_med,,8.525026559152893,10.25979390677981,-3.2345129660913634,114838,85,5775,3,recomputed
User07,temperature,7,B,,2.36686974614763,2.818527715561132,-2.1581109863970505,114838,85,12405,7,recomputed
User07,humidity,7,B,,8.38318835543239,9.959970960788077,-2.097552063229613,114838,85,12405,7,recomputed
User07,temperature,7,B_med,,2.69895853288981,3.2307839273426566,-2.674193211306362,114838,85,12405,7,recomputed
User07,humidity,7,B_med,,8.525026559152893,10.25979390677981,-3.2345129660913634,114838,85,12405,7,recomputed
User07,temperature,14,B,,2.3262389506470647,2.7704782048660133,-2.094968741976596,114838,85,23932,14,recomputed
User07,humidity,14,B,,8.285407330790484,9.744916841618009,0.4026255931598488,114838,85,23932,14,recomputed
User07,temperature,14,B_med,,2.69895853288981,3.2307839273426566,-2.674193211306362,114838,85,23932,14,recomputed
User07,humidity,14,B_med,,8.279759313119351,9.73941955216264,-0.2345129660913635,114838,85,23932,14,recomputed
User07,temperature,0,C,0,1.7562015963313184,2.2092449698601406,0.7129450696090569,114838,85,,,frozen_predictions
User07,humidity,0,C,0,10.048856284104133,12.348376454975675,1.6681151640022924,114838,85,,,frozen_predictions
User07,temperature,0,C,1,2.0721988865085224,2.5890151059256916,1.5135865865834388,114838,85,,,frozen_predictions
User07,humidity,0,C,1,10.598154099870527,13.031151204804658,5.195951336499712,114838,85,,,frozen_predictions
User07,temperature,0,C,2,1.846649484018802,2.322265712224688,1.1518735233804258,114838,85,,,frozen_predictions
User07,humidity,0,C,2,10.095223727349257,12.382248704367147,4.23989732719785,114838,85,,,frozen_predictions
User07,temperature,1,E,0,2.1744711945793944,2.610384116777302,-1.8455396914838489,114838,85,,,frozen_predictions
User07,humidity,1,E,0,8.568559703982464,10.339905020626869,-2.8065900293165424,114838,85,,,frozen_predictions
User07,temperature,1,E,1,2.163906915965549,2.5946465627596336,-1.8153357293076857,114838,85,,,frozen_predictions
