subject_id,target,budget_nights,first,second,seed,role,n_nights,n_windows,first_mae,second_mae,point_estimate,ci_lower,ci_upper,interval,night_median_delta,proportion_nights_second_better,n_resamples,rng_seed,level
User01,temperature,14,D,E,2,sensitivity,136,265852,2.6772860251189026,1.7395562052884945,0.937729819830408,0.7787587364359192,1.0956435469532764,above_zero,0.8002013833377803,0.8235294117647058,2000,0,0.95
User01,temperature,14,S,E,0,primary,136,265852,1.7689328863159,1.7116959553467823,0.05723693096911764,0.03190687798644569,0.0814717178344217,above_zero,0.014912268427490605,0.5220588235294118,2000,0,0.95
User01,temperature,14,S,E,1,sensitivity,136,265852,1.790805892073323,1.808089000361152,-0.017283108287829085,-0.027966348762421888,-0.006208823515198236,below_zero,-0.02552408871980194,0.35294117647058826,2000,0,0.95
User01,temperature,14,S,E,2,sensitivity,136,265852,1.7798105461329072,1.7395562052884945,0.040254340844412706,0.02279149747135025,0.05819842457927241,above_zero,0.019700742438631735,0.6544117647058824,2000,0,0.95
User01,humidity,1,B,D,0,primary,136,265852,44.62837129113149,51.58462559854713,-6.956254307415641,-7.245461235736114,-6.628407609399714,below_zero,-7.073310678524258,0.022058823529411766,2000,0,0.95
User01,humidity,1,B,D,1,sensitivity,136,265852,44.62837129113149,51.628064482283484,-6.999693191151998,-7.368057721147662,-6.596344925040795,below_zero,-7.261443819418542,0.022058823529411766,2000,0,0.95
User01,humidity,1,B,D,2,sensitivity,136,265852,44.62837129113149,50.83559287404791,-6.207221582916425,-6.666836263990972,-5.742185972837871,below_zero,-6.248048751891595,0.03676470588235294,2000,0,0.95
User01,humidity,1,B,E,0,primary,136,265852,44.62837129113149,25.20391298626204,19.424458304869447,19.06289528588093,19.81938006699129,above_zero,18.946091083074425,1.0,2000,0,0.95
User01,humidity,1,B,E,1,sensitivity,136,265852,44.62837129113149,29.216494217473212,15.411877073658275,15.088898389355052,15.760294837983267,above_zero,15.060758774930138,1.0,2000,0,0.95
User01,humidity,1,B,E,2,sensitivity,136,265852,44.62837129113149,29.074082516128378,15.554288775003108,15.184238753647865,15.935312883753209,above_zero,15.252403492117782,1.0,2000,0,0.95
User01,humidity,1,D,E,0,primary,136,265852,51.58462559854713,25.20391298626204,26.380712612285087,26.091234212555033,26.670619557485622,above_zero,26.796506548916184,1.0,2000,0,0.95
User01,humidity,1,D,E,1,sensitivity,136,265852,51.628064482283484,29.216494217473212,22.411570264810273,22.16352460088556,22.645460322687267,above_zero,22.452420015651256,1.0,2000,0,0.95
User01,humidity,1,D,E,2,sensitivity,136,265852,50.83559287404791,29.074082516128378,21.761510357919533,21.37665439749238,22.11361706961513,above_zero,22.28206430523729,1.0,2000,0,0.95
User01,humidity,3,B,D,0,primary,136,265852,44.155390157915065,48.03255638121503,-3.877166223299966,-4.166373151620355,-3.549319525283791,below_zero,-3.9942225944086935,0.029411764705882353,2000,0,0.95
User01,humidity,3,B,D,1,sensitivity,136,265852,44.155390157915065,47.318301494792436,-3.1629113368773716,-3.5307323277363514,-2.7601991145034366,below_zero,-3.423810087282071,0.04411764705882353,2000,0,0.95
User01,humidity,3,B,D,2,sensitivity,136,265852,44.155390157915065,46.13606320109614,-1.9806730431810777,-2.4389090497409036,-1.5168766340257624,below_zero,-2.018829249080788,0.27941176470588236,2000,0,0.95
User01,humidity,3,B,E,0,primary,136,265852,44.155390157915065,33.03066884306808,11.124721314846987,10.737363899412422,11.518965644408611,above_zero,11.102978897556538,1.0,2000,0,0.95
User01,humidity,3,B,E,1,sensitivity,136,265852,44.155390157915065,34.06358403866396,10.091806119251103,9.669243691827276,10.543175954257945,above_zero,9.480841798280258,1.0,2000,0,0.95
User01,humidity,3,B,E,2,sensitivity,136,265852,44.155390157915065,35.46670444547784,8.688685712437227,8.313070037896837,9.078778768472304,above_zero,8.020444048905924,1.0,2000,0,0.95
User01,humidity,3,D,E,0,primary,136,265852,48.03255638121503,33.03066884306808,15.001887538146953,14.608536183376069,15.377011257552095,above_zero,15.619937970334348,1.0,2000,0,0.95
User01,humidity,3,D,E,1,sensitivity,136,265852,47.318301494792436,34.06358403866396,13.254717456128475,12.931395422885075,13.579699182072199,above_zero,13.541702119513324,1.0,2000,0,0.95
User01,humidity,3,D,E,2,sensitivity,136,265852,46.13606320109614,35.46670444547784,10.669358755618305,10.17465915000631,11.144277967033315,above_zero,11.397449182409579,0.9779411764705882,2000,0,0.95
User01,humidity,7,B,D,0,primary,136,265852,35.52395960310471,37.35240248330299,-1.8284428801982813,-2.1176498085188786,-1.5005961821823892,below_zero,-1.9454992513066305,0.08823529411764706,2000,0,0.95
User01,humidity,7,B,D,1,sensitivity,136,265852,35.52395960310471,35.95461735129232,-0.43065774818761327,-0.7961278561385381,-0.02786042241625682,below_zero,-0.6983858796479421,0.4117647058823529,2000,0,0.95
User01,humidity,7,B,D,2,sensitivity,136,265852,35.52395960310471,34.968893470850674,0.5550661322540336,0.099811535613324,1.014917833732768,above_zero,0.5346886856688275,0.5661764705882353,2000,0,0.95
User01,humidity,7,B,E,0,primary,136,265852,35.52395960310471,29.762046793452583,5.761912809652124,5.294290998745393,6.240752932475563,above_zero,5.498614438859832,1.0,2000,0,0.95
User01,humidity,7,B,E,1,sensitivity,136,265852,35.52395960310471,29.556800873097192,5.967158730007515,5.306801240854762,6.629548714915314,above_zero,6.047650767316501,0.9632352941176471,2000,0,0.95
