scope,fold,subject_id,quantity,kind,recomputed,frozen,abs_diff,tolerance_abs,passed,target,seed,budget_nights
rq2,1,User01,C_y_true,exact,,,,0,True,,0,
rq2,1,User01,C_prediction_keys,exact,ok,ok,,0,True,,1,
rq2,1,User01,C_y_true,exact,,,,0,True,,1,
rq2,1,User01,C_prediction_keys,exact,ok,ok,,0,True,,2,
rq2,1,User01,C_y_true,exact,,,,0,True,,2,
rq2,1,User01,adaptation_and_buffer_nights_equal_plan,exact,,,,0,True,,,1
rq2,1,User01,fit_windows:fit_windows_are_labelled_adaptation_windows,exact,ok,ok,,0,True,,,1
rq2,1,User01,fit_windows:fit_windows_in_the_earliest_b_nights,exact,ok,ok,,0,True,,,1
rq2,1,User01,fit_windows:no_fit_window_in_the_buffer_night,exact,ok,ok,,0,True,,,1
rq2,1,User01,fit_windows:no_fit_window_in_a_test_or_primary_night,exact,ok,ok,,0,True,,,1
rq2,1,User01,fit_windows:fit_rows_precede_buffer_and_test_rows,exact,ok,ok,,0,True,,,1
rq2,1,User01,adaptation_windows,exact,1087,1087,,0,True,,,1
rq2,1,User01,primary_targets_equal_b0,exact,,,,0,True,,,1
rq2,1,User01,B_adaptation_mean_as_A_plus_offset,float,27.782888684452622,27.782888684452647,2.4868995751603507e-14,1e-09,True,temperature,,1
rq2,1,User01,B_adaptation_mean_as_A_plus_offset,float,69.71757129714811,69.71757129714824,1.2789769243681803e-13,1e-09,True,humidity,,1
rq2,1,User01,B_mae,float,2.305443662818614,2.30544366281863,1.5987211554602254e-14,1e-09,True,temperature,,1
rq2,1,User01,B_rmse,float,2.7420104469653945,2.7420104469654136,1.9095836023552692e-14,1e-09,True,temperature,,1
rq2,1,User01,B_bias,float,2.09039436430457,2.0903943643045944,2.4424906541753444e-14,1e-09,True,temperature,,1
rq2,1,User01,B_fit_windows,exact,1087,1087,,0,True,temperature,,1
rq2,1,User01,B_mae,float,44.62837129112971,44.62837129112985,1.4210854715202004e-13,1e-09,True,humidity,,1
rq2,1,User01,B_rmse,float,45.44650100574544,45.446501005745574,1.3500311979441904e-13,1e-09,True,humidity,,1
rq2,1,User01,B_bias,float,44.62837129112971,44.62837129112985,1.4210854715202004e-13,1e-09,True,humidity,,1
rq2,1,User01,B_fit_windows,exact,1087,1087,,0,True,humidity,,1
rq2,1,User01,E_prediction_keys,exact,ok,ok,,0,True,,0,1
rq2,1,User01,E_y_true,exact,,,,0,True,,0,1
rq2,1,User01,E_prediction_keys,exact,ok,ok,,0,True,,1,1
rq2,1,User01,E_y_true,exact,,,,0,True,,1,1
rq2,1,User01,E_prediction_keys,exact,ok,ok,,0,True,,2,1
rq2,1,User01,E_y_true,exact,,,,0,True,,2,1
rq2,1,User01,adaptation_and_buffer_nights_equal_plan,exact,,,,0,True,,,3
rq2,1,User01,fit_windows:fit_windows_are_labelled_adaptation_windows,exact,ok,ok,,0,True,,,3
rq2,1,User01,fit_windows:fit_windows_in_the_earliest_b_nights,exact,ok,ok,,0,True,,,3
rq2,1,User01,fit_windows:no_fit_window_in_the_buffer_night,exact,ok,ok,,0,True,,,3
rq2,1,User01,fit_windows:no_fit_window_in_a_test_or_primary_night,exact,ok,ok,,0,True,,,3
rq2,1,User01,fit_windows:fit_rows_precede_buffer_and_test_rows,exact,ok,ok,,0,True,,,3
