subject_id,target,condition,budget_nights,R,Q,r_pooled,r_within,r_within_mat,oracle_affine,class_r_pooled,class_r_within,class_r_within_mat,within_positive_rule,J1,J2,J3,J4,J5,J6,J7,J8_cell,unmapped_within_only,status,protocol_version
User07,temperature,E,1,1.0206479554194348,0.29736964298356966,0.07865629255181272,-0.010362072388523578,-0.010362072388523578,0.9968943202136793,zero,zero,zero,False,True,False,False,False,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User07,humidity,E,1,1.028771802029027,0.2501390877603675,0.00870212960688385,-0.04085288795496071,-0.04085288795496071,0.9996975611653959,zero,zero,zero,False,True,False,False,False,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User07,temperature,E,3,1.0147204398063343,0.17943499672205931,0.0075273141329189825,0.01085876804005878,0.01085876804005878,0.9999696702296278,zero,zero,zero,False,True,False,False,False,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User07,humidity,E,3,1.009119560547093,0.1510909102692414,0.018699653075635574,0.007232565147044896,0.007232565147044896,0.9995549187094593,zero,zero,zero,False,True,False,False,False,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User07,temperature,E,7,1.0227089018905995,0.1563967317430547,-0.06870333444221423,0.038714959457281706,0.038714959457281706,0.9975807273101496,small,zero,zero,False,True,False,False,False,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User07,humidity,E,7,1.0065533663642643,0.14177733672601203,0.026936528397238133,0.007807793710850735,0.007807793710850735,0.9995513915687023,zero,zero,zero,False,True,False,False,False,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User07,temperature,E,14,1.0227977609920096,0.129137146976411,-0.11433387443968508,0.03618003631405248,0.03618003631405248,0.9933714444055846,negative,zero,zero,False,False,False,False,True,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User07,humidity,E,14,0.9967830265531562,0.13644836841688676,0.09231547070239023,0.04467112723381808,0.04467112723381808,0.995717315564787,small,zero,zero,False,True,False,False,False,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User07,temperature,S,14,1.0196329422258883,0.10137661645100693,-0.14468036924949876,0.04025669525317265,0.04025669525317265,0.9894601246429214,negative,zero,zero,False,False,False,False,True,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User07,humidity,S,14,0.9967138096683562,0.09528253845877437,0.08211769495794217,0.05871382076953049,0.05871382076953049,0.996608776977458,small,zero,zero,False,False,False,False,False,True,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
