model,fold,subject_id,stratum_type,stratum,target,metric,value,seed_sd,n_windows,source
RAW,2,User02,device,22482,temperature,mae,5.874857760719952,0.05792063178877698,86508,p3_frozen
RAW,2,User02,device,22482,temperature,rmse,6.209535331313188,0.05410583537048633,86508,p3_frozen
RAW,2,User02,device,22482,temperature,bias,-5.874857760719952,0.05792063178877698,86508,p3_frozen
RAW,2,User02,device,22482,humidity,mae,30.93515615003228,0.5418931849955724,86508,p3_frozen
RAW,2,User02,device,22482,humidity,rmse,34.78349186978222,0.536979879598077,86508,p3_frozen
RAW,2,User02,device,22482,humidity,bias,-30.453819952537838,0.610733794104795,86508,p3_frozen
RAW,2,User02,channel_quality_phase,normal,temperature,mae,4.51026251961674,0.0569640404304177,107837,p3_frozen
RAW,2,User02,channel_quality_phase,normal,temperature,rmse,5.007049051558119,0.04778187602441227,107837,p3_frozen
RAW,2,User02,channel_quality_phase,normal,temperature,bias,-4.51026251961674,0.0569640404304177,107837,p3_frozen
RAW,2,User02,channel_quality_phase,normal,humidity,mae,23.763561160880837,0.5201577044450192,107837,p3_frozen
RAW,2,User02,channel_quality_phase,normal,humidity,rmse,27.9564757511052,0.4791434647576341,107837,p3_frozen
RAW,2,User02,channel_quality_phase,normal,humidity,bias,-23.57515264049297,0.538782139761126,107837,p3_frozen
RAW,2,User02,channel_quality_phase,p1_response_shift,temperature,mae,5.652581907026824,0.08543317453785923,33677,p3_frozen
RAW,2,User02,channel_quality_phase,p1_response_shift,temperature,rmse,5.830149153874825,0.08469383319797798,33677,p3_frozen
RAW,2,User02,channel_quality_phase,p1_response_shift,temperature,bias,-5.652581907026824,0.08543317453785923,33677,p3_frozen
RAW,2,User02,channel_quality_phase,p1_response_shift,humidity,mae,26.399526243018716,0.523176529894342,33677,p3_frozen
RAW,2,User02,channel_quality_phase,p1_response_shift,humidity,rmse,31.435021881001944,0.5597060427087914,33677,p3_frozen
RAW,2,User02,channel_quality_phase,p1_response_shift,humidity,bias,-25.215308246784275,0.695823826245284,33677,p3_frozen
RAW,2,User02,channel_quality_phase,p1_transition,temperature,mae,7.121621056475458,0.06122471130953476,2485,p3_frozen
RAW,2,User02,channel_quality_phase,p1_transition,temperature,rmse,7.290689256666433,0.059199614831046146,2485,p3_frozen
RAW,2,User02,channel_quality_phase,p1_transition,temperature,bias,-7.121621056475458,0.06122471130953476,2485,p3_frozen
RAW,2,User02,channel_quality_phase,p1_transition,humidity,mae,36.00290661497166,0.5052260318737901,2485,p3_frozen
