subject_id,target,predictor,predictor_name,seed,mae,mae_seed_sd,rmse,bias,err_sd,target_sd,R,n_windows,n_nights
User02,temperature,E,full_fine_tuning,mean,1.550401069325698,0.033387878402672544,2.0357781325231734,-1.211919451770289,1.6357322952639037,1.7066896776370382,0.958423969334966,95839,36
User02,temperature,S,scratch_initialization_control,0,1.5131779556067952,,1.9950405698063478,-1.2117556790756072,1.584876982418904,1.7066896776370382,0.9286263362260517,95839,36
User02,temperature,S,scratch_initialization_control,1,1.6064926536474589,,2.1046156748376297,-1.3473285166560287,1.6168218847410851,1.7066896776370382,0.9473438000630685,95839,36
User02,temperature,S,scratch_initialization_control,2,1.578390981315206,,2.0702650221245844,-1.311703251171544,1.6016965513787274,1.7066896776370382,0.938481419537454,95839,36
User02,temperature,S,scratch_initialization_control,mean,1.56602053018982,0.047871486956112284,2.056640422256187,-1.29026248230106,1.6011318061795723,1.7066896776370382,0.938150518608858,95839,36
User02,humidity,C,raw_tcn_base,mean,21.984249528121513,0.500287684304658,26.138611870817765,-21.363635863272275,15.058506788777612,13.7608511676816,1.0943005345587673,95839,36
User02,humidity,B,adaptation_target_mean,,13.423178270849409,,16.23222313431847,8.609532102455958,13.7608511676816,13.7608511676816,1.0,95839,36
User02,humidity,B,adaptation_target_mean,,13.423178270849409,,16.23222313431847,8.609532102455958,13.7608511676816,13.7608511676816,1.0,95839,36
User02,humidity,E,full_fine_tuning,0,12.075163270105271,,14.907534010651554,6.401734711607257,13.462999775716243,13.7608511676816,0.9783551621672296,95839,36
User02,humidity,E,full_fine_tuning,1,12.40276466484662,,15.196545996607838,6.733922635829467,13.623116242684022,13.7608511676816,0.9899908135536659,95839,36
User02,humidity,E,full_fine_tuning,2,12.225079376383027,,15.046708384380677,6.158740960760746,13.728559392115386,13.7608511676816,0.9976533591437967,95839,36
User02,humidity,E,full_fine_tuning,mean,12.234335770444973,0.16399673497479067,15.050262797213357,6.4314661027324895,13.604891803505216,13.7608511676816,0.9886664449548973,95839,36
User02,humidity,S,scratch_initialization_control,0,11.877076928382701,,14.625989727690353,5.921778407301518,13.373560334081617,13.7608511676816,0.9718556047964848,95839,36
User02,humidity,S,scratch_initialization_control,1,11.3946222723021,,14.054570194912966,4.438343404348216,13.335368430936379,13.7608511676816,0.9690802021211813,95839,36
User02,humidity,S,scratch_initialization_control,2,11.381332949712757,,14.063761647988791,4.500051633892918,13.324373418053776,13.7608511676816,0.9682811953774396,95839,36
